"Comment","Designator","Footprint","LCSC Part #"
"10 nF","C1","C_0402_1005Metric","C15195"
"22 pF","C2,C4","C_0402_1005Metric","C1555"
"10 uF","C3","C_0805_2012Metric","C15850"
"100 nF","C5,C7,C14,C10,C12,C6","C_0402_1005Metric","C1525"
"22 uF","C8,C13","C_0603_1608Metric","C59461"
"B5819W","D2,D1","D_SOD-123","C8598"
"LED","D3","LED_0603_1608Metric_Castellated","C2286"
"USB_C_Receptacle_USB2.0","J1","USB_C_Receptacle_Palconn_UTC16-G","C167321"
"4.7 uH","L1","L_1210_3225Metric","C86070"
"SS8050","Q2,Q1","SOT-23","C2150"
"100 kR","R1","R_0402_1005Metric","C25741"
"5.1 kR","R3,R2","R_0402_1005Metric","C25905"
"330 R","R4,R11,R12","R_0402_1005Metric","C25104"
"49.9kR","R5","R_0402_1005Metric","C25897"
"15 kR","R6","R_0402_1005Metric","C25756"
"1 kR","R9","R_0402_1005Metric","C11702"
"10 kR","R10,R7,R8","R_0402_1005Metric","C25744"
"EN","SW1","SW_Push_SPST_NO_Alps_SKRK","C115357"
"BOOT","SW2","SW_Push_SPST_NO_Alps_SKRK","C115357"
"MP2359","U1","SOT-23-6","C14259"
"CH340G","U2","SOIC-16_3.9x9.9mm_P1.27mm","C14267"
"ESP32-PICO-D4","U3","ESP32-Pico-D4","C193707"
"Crystal_GND24","Y1","Crystal_SMD_3225-4Pin_3.2x2.5mm","C9002"
